video_name,hip_rom,knee_rom,torso_stability,heel_instability,toe_instability,knee_min_angle,hip_min_angle,torso_lean_peak,torso_lean_mean,descent_frames,ascent_frames,descent_ascent_ratio,knee_over_toe_mean,knee_over_toe_max,hip_below_knee_frac
64,42.91083133619301,41.79109099746674,2.344157117401142,1.046982338606246,1.1179334142303845,78.5203392389767,76.83857012179655,23.883196049607136,22.24277139709609,46.0,36.0,1.2777777422839518,-0.506805628993349,-0.3343999501663862,0.0
65,46.91687942582627,45.63992234981828,2.093893880247596,0.8167545105598172,1.137678766104203,76.54401178668292,77.35603548506155,21.858505660941283,20.138966100315848,49.0,37.0,1.324324288531776,-0.5306577580971372,-0.3317064476890149,0.0
66,45.90885473596711,48.044581188765065,2.9095043717324285,0.9885280635195108,1.02035725729164,78.14787079984488,80.01964038467071,20.459427420118185,19.59248854843704,1.0,34.0,0.0294117638408304,-0.5135002021058201,-0.2978899178630241,0.0
67,54.42131909688106,48.65453685824643,2.143053010580418,0.8479618168845733,0.5121320553265761,99.52866388659352,89.6263828550957,27.78467188955084,22.26806299120934,29.0,28.0,1.035714248724491,-0.334038108461722,-0.174119927342968,0.0
68,60.190063123563206,52.44748102669297,1.5900615181515696,0.7469026891647302,0.7219099558865852,99.69073648364338,87.36626644779706,29.32177908416899,23.99434771542236,60.0,24.0,2.4999998958333376,-0.3281366299108883,-0.142279837554539,0.0
69,64.20287966770888,60.52511253546457,2.424087626680023,0.970772694906219,1.7698195298648376,56.45134230382844,72.00630723199865,16.08958311422276,14.420517070707271,41.0,39.0,1.051282024326102,-0.686024233441392,-0.497807531790927,0.25
70,58.64211330830992,53.60780971388165,1.3525792349080783,1.0852471990589123,1.1926370274297966,60.00686425921136,76.00456018039071,17.91033979551913,15.424845586281824,46.0,32.0,1.4374999550781264,-0.7212700741326679,-0.52695352201738,0.0
71,60.26154947374418,55.086566442236816,1.841191767434988,1.0577198179875715,1.266531678944706,52.735701950975454,66.05305767338963,17.016241607086243,15.282941746533876,40.0,43.0,0.9302325365062202,-0.7139930017987074,-0.539059374919386,0.3611111111111111
72,69.23930691400369,71.83332100693387,2.7265636093458814,1.3593440975459916,0.6266213380206678,62.718822562616126,76.02227615055145,19.05653731440163,15.353326562513391,34.0,27.0,1.259259212620029,-0.5607961738537042,-0.2703076014785271,0.0
73,66.57179837191588,72.25634865293435,2.2077157050055773,0.961605587930372,0.7335041174693757,64.77702997055894,81.57145956153785,17.749746291787442,14.551386214164962,30.0,29.0,1.0344827229488716,-0.593077258051558,-0.3367547819958693,0.0
74,69.71860711816082,86.05892113657876,1.9632966742761224,0.8258056023135242,1.4115201922333565,49.72792278330496,84.90387177049196,7.752791098848095,5.351026482375818,34.0,29.0,1.1724137526753875,-0.5896965986707124,-0.3863491378038416,0.1666666666666666
75,58.43787825429952,77.96879893517395,2.08639899937822,1.3058024227029823,2.7830479568873856,48.86602848701558,89.79939429354191,7.751314463595893,4.426417633852213,16.0,24.0,0.66666663888889,-0.6190045072232067,-0.353000827186945,0.0
